Fecha;SMB;HML
31/7/14;-0.00168181818181818;0.00136363636363635
31/8/14;0.000480952380952381;0.000285714285714286
30/9/14;-0.00146666666666666;-0.000242857142857142
31/10/14;0.00203478260869565;-0.000204347826086956
30/11/14;-0.00075263157894736;-0.00112631578947368
31/12/14;0.00143181818181818;0.00152272727272727
31/1/15;0.00040000000000001;-0.00134
28/2/15;0.000589473684210526;-0.000410526315789473
31/3/15;0.00168636363636363;0.000322727272727273
30/4/15;-0.00113809523809523;0.00137142857142857
31/5/15;0.000749999999999999;-0.000045
30/6/15;0.00162727272727272;0.000154545454545455
31/7/15;-0.00161818181818181;-0.00141818181818181
31/8/15;0.00419047619047619;0.0019047619047619
30/9/15;-0.00102857142857142;0.00078095238095238
31/10/15;-0.00045;0.000313636363636364
30/11/15;0.002075;0.000315
31/12/15;-0.00103636363636363;-0.00072272727272727
31/1/16;-0.00161578947368421;0.00177368421052631
29/2/16;0.000659999999999999;0.000195
31/3/16;0.000681818181818182;0.00101818181818182
30/4/16;0.000685714285714285;0.00203809523809523
31/5/16;-0.000714285714285711;-0.00028095238095238
30/6/16;0.0006;-0.000136363636363636
31/7/16;0.00151;-0.000075
31/8/16;0.000817391304347826;0.0018391304347826
30/9/16;0.00132380952380952;-0.000071428571428571
31/10/16;-0.00187619047619047;0.00254761904761904
30/11/16;0.00285714285714285;0.00408095238095238
31/12/16;0.000523809523809523;0.00216190476190476
31/1/17;-0.000234999999999999;-0.000845
28/2/17;-0.00075263157894736;-0.00031578947368421
31/3/17;0.000821739130434782;-0.00091304347826086
30/4/17;0.000705263157894736;-0.00056315789473684
31/5/17;-0.0008090909090909;-0.00125454545454545
30/6/17;0.00131818181818181;0.00117727272727273
31/7/17;-0.0004;0.00999999999999994
31/8/17;-0.000417391304347826;-0.000421739130434782
30/9/17;0.00244;0.002015
31/10/17;-0.000559090909090909;0.00727272727272732
30/11/17;0.000523809523809529;0.00285714285714284
31/12/17;-0.00033;0.000199999999999999
31/1/18;-0.00113809523809523;-0.000109523809523809
28/2/18;0.00947368421052635;-0.000089473684210526
31/3/18;0.00222857142857142;0.000390476190476191
